,created_at,login,name,type,company,location,contributions,public_repos,followers,following
102,2016,badboy3000,,User,,,,308,10,149
103,2015,Qughaq,Jilil Rahmat,User,Donghua University,Shanghai China,,13,2,18
104,2017,lovelilei,lovelilei,User,,,,1,0,6
105,2017,wewan,Wei Wang,User,,,,53,4,39
106,2017,tryrus,,User,,,,3,0,11
107,2014,EzimetYusup,EzimetYusup,User,@AD60 @OtkurBiz ,"ChapelHill,NC",,17,92,1184
108,2015,CynScm,,User,,,,44,4,58
109,2016,SamuelYG,SamYoung,User,,,,29,1,30
110,2017,ldw21cn,,User,,,,138,3,23
111,2014,gobraves,,User,,,,35,13,137
112,2016,VictorZan,,User,,,,1,1,9
113,2015,AutuanLiu,AutuanLiu,User,Southeast University,"NanJing, China",,81,64,727
114,2017,maxixi13,maxiaoxiao,User,,,,2,0,2
115,2016,xieys,xieys,User,ECUT,NanChang,,14,4,50
116,2016,yaozheng1998,YZ,User,,,,7,22,55
117,2016,Android-MI,小米`s,User,,China TianJin,,138,16,314
118,2014,wnpllrzodiac,Michael.Ma,User,tv189,shanghai,,282,24,67
119,2016,SoySauce1024,SoySauce1024,User,,,,13,1,23
120,2016,easy4sec,easy4sec,User,,,,15,1,7
121,2017,ChanZeZ,ChanZeZ,User,,,,2,0,93
122,2014,micrologic,micrologic,User,Hundsun,"Hangzhou, China",,224,23,637
123,2013,linkadd,Martin.J,User,,,,4,7,21
124,2017,huangxiaoxie,,User,,,,39,1,16
125,2016,xiaofan1991,Fan Jiang,User,Heilongjiang University of Chinese Medicine,"Harbin, China",,11,0,34
126,2017,Marysgithub,Mary,User,,,,13,0,15
127,2016,ingShen,Mings,User,,,,20,1,16
128,2017,goodwell42,goodwell,User,,,,15,19,23
129,2017,ayuchao,,User,,,,1,0,5
130,2017,thinkergithub,Timge,User,,,,33,3,18
131,2015,lovezp,梦想在路上,User,,,,1,0,4
132,2015,kifast,天下的代码都是朕的,User,无组织无纪律,DPRK,,31,12,131
133,2017,aiaihouge,LilAiTT,User,BIT,,,2,0,12
134,2016,isees,,User,,,,94,4,80
135,2015,ivitan,Vitan,User,,"Canton,China",,9,8,60
136,2016,DToDelete,,User,,,,21,2,22
137,2017,evi1j,,User,,,,1,0,14
138,2014,qitianjin,qitianjin,User,北京,北京,,4,8,8
139,2017,ChiefTigger420,Omar Jenkins,User,1982,Waynesville Missouri United States,,2,1,10
140,2017,easepan,Ease,User,@code4everything ,"Chengdu, China",,19,24,95
141,2009,leeight,Li YuBei,User,@Bytedance,"Shanghai, China",,190,318,728
142,2013,perishyu,,User,,,,0,1,2
143,2015,michaelymzhang,,User,,,,1,0,1
144,2014,EumenidesCarry,ECarry,User,,"Fuzhou,China",,20,1,11
145,2016,qicunshang,,User,,,,9,2,3
146,2015,myinxd,Jason Ma,User,,"Shanghai, China",,32,13,18
147,2015,JerryChii,JC For Short,User,,,,51,9,20
148,2017,768927433,,User,,,,1,0,2
149,2017,riba2534,riba2534,User,,,,28,18,34
150,2015,anzh1,安之,User,,,,3,1,91
151,2016,PerfectBlueFeynman,feynman,User,,,,10,2,42
152,2016,wendyltan,Wendyltanpcy,User,People's Bank of China,"China,Zhuhai",,42,22,80
153,2017,DylanYangwy,,User,,,,5,1,7
154,2016,stormstone,Stone,User,,成都,,23,107,74
155,2014,voitgxd,,User,,,,27,2,4
156,2017,dongmiaomiao,,User,,,,2,3,5
157,2014,zalax303,,User,,,,10,1,20
158,2017,fishlegss,,User,,,,0,0,1
159,2016,bsaby,Mona Sun,User,,Shanghai,,7,4,2
160,2015,xintaiideas,流量,User,,china,,16,7,186
161,2016,Easoncyx,Yixu Chen,User,,"College Station, TX",,16,5,13
162,2017,Ambuehl97,,User,,,,3,0,16
163,2013,YunoYuno,风神少女,User,,,,20,5,12
164,2017,dustyding,Xiao Peng,User,,,,2,4,6
165,2017,lxjack,jack liu,User,,,,3,0,4
166,2016,couth1212,string,User,,,,7,0,2
167,2016,stevenling,yunhu,User,,,,11,2,18
168,2017,leolee5633,,User,,,,19,0,3
169,2015,Sailfishc,张成,User,BEIJING,BEIJING,,140,35,444
170,2016,swimmingwhale,Kuppo,User,,,,24,9,47
171,2016,starlikerain,Evan Yann,User,major in computer science,Mainland China,,34,5,35
172,2018,jker8,robin,User,,"Camrose, AB",,3,2,21
173,2016,yueqianzhang,yueqian,User,,"Dalian, China",,23,15,405
174,2017,jaisankit,Ankit Jais,User,Brand Profit,"Mumbai, India",,9,3,65
175,2014,idreamshen,ChenHsingYu,User,"NetEase, Inc",Hangzhou,,38,32,170
176,2016,Yanzlllll,,User,,,,123,8,177
177,2016,Xixi20160512,ruan_xh,User,,china wh,,43,2,24
178,2015,rockli0724,李林lilin,User,,,,45,1,24
179,2012,chain0414,,User,,,,43,6,63
180,2017,sabk222,,User,,,,1,0,13
181,2016,WastonSuen,waston,User,,,,9,0,3
182,2013,IssacYoung2013,Issac Young,User,Mistong Education Technology Company,HangZhou CN.,,30,7,45
183,2016,biglygit,Timber,User,,,,6,5,43
184,2016,ptteng,java,User,,,,35,29,16
185,2017,littlefis,Yu Jianing,User,Zhejiang University,"Hangzhou, China",,8,8,12
186,2017,zacharylam,ZacharyLin,User,,Sydney,,2,0,3
187,2016,Godyakho,m,User,,Beijing,,26,7,34
188,2016,CooSamuel,Qianshan,User,,"Suzhou, Jiangsu",,25,11,24
189,2016,guowangrumeng,xizhao.dai,User,云霁科技,hangzhou,,18,3,4
190,2014,codesboy,Rehack,User,BeiChen,"Chengdu,China",,79,11,31
191,2017,HarrYjagariya,Harendra Sharma,User,,Noida,,0,1,18
192,2016,adamsandwich,Adamsandwich,User,,"SHNU,Shanghai,China",,8,13,29
193,2013,elnx,,User,,Universe,,36,122,898
194,2016,wulin76,,User,,,,1,0,15
195,2017,Mrxu123,Mrxu123,User,,guangdong.China,,3,0,30
196,2016,Yannnnnnnnnnnn,,User,,,,76,18,91
197,2015,mengyingzh,Mengying Melissa,User,,,,9,1,6
198,2016,limberc,Limber Cheng,User,University of Oxford,"Oxford, UK",,160,82,176
199,2016,QCtester,Qin朝,User,,,,2,1,7
200,2017,atomwangda,Wang Da,User,,Beijing China,,18,3,28
201,2016,Sophie521,Unicorn,User,221B,Chengdu,,29,12,219
202,2013,w23ta0,武涛,User,,Beijing China,,18,11,86
203,2017,heywrcoding,shufan zhang,User,UESTC,"Chengdu, Sichuan",,19,11,34
204,2015,misakar,misakar,User,ByteDance,,,55,201,259
205,2016,larrof,,User,,,,20,0,1
206,2015,Sun-Shuai,AI developer,User,,TianJin,,33,5,13
207,2015,ltyy,,User,,,,35,10,77
208,2017,jc91715,,User,,Shanghai China,,60,11,69
209,2017,isidore-wong,,User,GridSum,GuangZhou,,41,1,9
210,2012,michaeldong,dong,User,,Beijing,,61,6,67
211,2015,noyousjtu,,User,,,,16,0,2
212,2014,MeiyouSunny,MeiyouSunny,User,MANZZ,China-ChengDu,,219,4,7
213,2015,skyformat99,skyformat99,User,GITHUB,GITHUB,,8115,177,3968
214,2013,kingheshan,King,User,,,,28,17,40
215,2017,gggggggggg1,,User,,,,4,1,4
216,2016,baifengbai,,User,,,,1082,15,1116
217,2016,leibnizi,leibnizi,User,,shanghai,,30,4,49
218,2017,ceqt333,,User,,,,4,0,2
219,2017,ErBingBing,,User,,,,16,0,5
220,2017,00why00,why,User,,,,5,1,9
221,2015,chenyinchao,Yinchao Chen,User,,,,27,5,118
222,2014,MrBigBang,Hyman Lee,User,,,,118,22,161
223,2014,anynew,anynew,User,,,,5,5,13
224,2016,StephenHuge,Steve Hu,User,,"Harbin, China",,29,6,41
225,2017,Wonderful99668,ZhijunXue,User,HUST,Wuhan,,14,2,26
226,2015,grlong,,User,,,,14,0,4
227,2018,xiongqi123,,User,,,,1,1,33
228,2016,Freetaoyu,陶瑜,User,,,,5,2,2
229,2012,njZhuMin,MIN ZHU,User,,China,,42,41,99
230,2015,dingweihua,布丁,User,,,,33,4,26
231,2017,hi-noikiy,,User,,,,1451,7,38
232,2015,YiwenXu,YiwenX,User,UNSW,Sydney,,2,1,13
233,2015,MirrorAzureZhang,,User,,,,1,0,10
234,2016,xieyufei1993,GeorgeJoe,User,,,,108,60,182
235,2013,Cathon,Cathon,User,,Shanghai,,36,15,23
236,2014,yrzx404,忆蓉之心,User,,"Chengdu, China",,9,40,129
237,2016,shilunzhang,张诗伦,User,,,,4,2,13
238,2018,Trijon1133,Jon Pritchard,User,Trithereum LLC,"West Palm Beach, FL",,2,8,82
239,2016,SeanChen2012,,User,,,,37,3,28
240,2016,dengbaoling,dengbaoling,User,,,,261,61,257
241,2010,yihuihan,NeoHan,User,,Shanghai,,40,2,22
242,2017,ryc3221775293,Yunzhao Wang,User,,,,18,5,15
243,2017,nclight,gg,User,用友网络,BJ,,5,1,21
244,2016,CoXier,JianxinLi,User,@Uniquestudio,Beijing,,20,104,78
245,2016,WinMin,swing,User,@r3kapig ,,,40,179,54
246,2016,100101001,,User,,,,1,0,15
247,2013,yaoshanliang,iat,User,Soochow University,"Suzhou, China",,97,74,73
248,2017,pyknife,candyriver,User,,,,63,1,73
249,2017,YunLambert,GeekYUN,User,XiGuaCity,Chengdu,,24,22,59
250,2013,phpmaple,KooFrank,User,http://weibo.com/phpmaple,ShangHai China,,25,124,319
251,2016,LinAndroid,,User,,,,6,2,15
252,2012,vovolie,dealernomore,User,,,,29,12,76
253,2014,hustlihaifeng,lihaifeng,User,,Wuhan.China,,27,1,15
254,2015,Tomy-Lee,Jia Li,User,Sun Yat-sen University,"Canton, Guangdong province, China",,20,18,48
255,2016,ben1iu,刘兵林,User,,郑州,,12,3,105
256,2012,Migoo-LiWB,www.macxx.cn,User,MacXX Inc,China,,15,6,40
257,2012,luan0ma,Alan,User,,Eindhoven,,12,1,17
258,2017,sandydecision,,User,,,,3,0,6
259,2015,cyberorgnizm,Adole Samuel,User,CDR,"Abuja, Nigeria ",,29,25,59
260,2017,qintao0203,qintao,User,,BeiJing,,11,3,53
261,2016,duyehong,DuYeHong,User,,"DongGuan, China",,9,4,77
262,2012,tianguanghui,GreyWolf,User,,,,1061,16,233
263,2015,heishanmao,,User,,,,3,1,5
264,2014,gunnergit,peng,User,,,,18,5,35
265,2015,chenkexu,chenkexu,User,,,,32,4,75
266,2016,Heisenberg710,,User,,,,8,0,4
267,2015,Donglingang,董林刚,User,,,,12,0,7
268,2012,renfengmei,renfeng.mei,User,petkit,www.petkit.com,,10,15,58
269,2013,yzl520,,User,,,,33,7,57
270,2015,chenshiyuhit,Shiyu Chen,User,"Harbin Institute of Technology, Shenzhen",,,45,7,13
271,2014,humaozi00,,User,,,,6,1,50
272,2016,Evinemz,,User,,,,0,1,5
273,2014,suilin1254703825,Lin Ye,User,,beijing ，China,,6,3,17
274,2015,wangkaiwan,,User,,Xi'an Shaanxi China,,23,2,24
275,2016,Kylin2,,User,,,,9,1,7
276,2015,MissCuriosity,MissCuriosity,User,,,,40,14,71
277,2015,angellball,,User,,,,0,0,1
278,2016,jyncode,,User,,,,2,6,28
279,2017,superburn,,User,,,,1,2,5
280,2017,LaelLuo,Lael,User,,,,7,2,11
281,2016,yang217,jack,User,Global,Earth,,179,31,1576
282,2017,LiuJiuJie,,User,,,,0,1,8
283,2015,Wenyi1995,,User,,,,3,1,3
284,2016,LuciferDemon,NeoLee,User,,,,1,0,1
285,2014,liyuzhao,李玉召,User,@easemob ,Beijing,,314,8,39
286,2016,hsy1992,Endless,User,,,,9,1,16
287,2012,chenshengzhi,陈圣治,User,,"Xiamen, Fujian, China",,46,16,175
288,2015,Ericsongyl,天外来客1009,User,,,,36,20,16
289,2018,kennethliu2008,,User,,,,0,0,1
290,2017,Allen151,Allen,User,公众号：allen151,GuangGong  China,,42,7,42
291,2013,MaxLuan,Max LUAN,User,,CUHK HK,,12,5,15
292,2014,JustgoFlyme,,User,,,,18,0,4
293,2017,huangguangda,达叔小生,User,https://huangguangda.github.io/,广东-广州,,125,17,100
294,2014,Edward-Shaw,肖老板,User,ECNU,"Shanghai, China",,80,18,68
295,2016,yinbun,Yinbun Yip,User,,,,7,1,21
296,2011,weimingtom,weimingtom,User,,"Guangdong, China",,2255,184,1873
297,2015,disemboltura,,User,,,,2,1,14
298,2014,google2013,,User,,,,1626,33,774
299,2013,songyue,songyue,User,,,,47,7,47
300,2017,Terrywjx,wangjinxin,User,Peking University,Beijing,,45,6,27
301,2016,yancymin,Yancy Min,User,@GeeTeam,China,,41,31,216
302,2016,hustliweizeng,,User,,,,4,3,28
303,2016,jukieq,,User,,,,1,1,3
304,2016,tianliuyang,sherry,User,,,,4,5,10
305,2015,hyhlinux,tplinux,User,https://apkpure.com,,,406,18,122
306,2014,18311023368,开着拖拉机迎着春天的到来,User,,,,30,1,19
307,2017,w1327606,,User,,,,8,0,3
308,2017,yophson,Yu-F,User,,,,1,0,1
309,2017,AlexOzz,,User,,,,1,0,1
310,2016,liujujun,,User,,,,5,0,3
311,2016,zhengyima,ZY Ma,User,,"Haidian District , Beijing",,52,14,27
312,2013,jackping,jackping,User,,,,11,1,7
313,2014,pandancode,大团子,User,,,,22,6,14
314,2015,lihonglinglory,Glory,User,,China,,29,6,47
315,2016,rennianqing,,User,,,,3,0,3
316,2016,SherlockLHT,,User,,,,24,2,1
317,2016,StephenYgz,DanielYang,User,,"shanghai,China",,58,2,17
318,2016,Cecil0o0,Cecil,User,@tuia-fed ,HangZhou ZheJiang China,,24,4,8
319,2016,Polaris-cn,Polaris,User,,,,11,0,2
320,2015,13567370952,,User,,,,188,2,23
321,2014,503945930,wei,User,,chengdu,,192,88,225
322,2015,wswMars,,User,,,,4,1,9
323,2015,ioljok1988,,User,,,,0,9,245
324,2013,hanx11,Han Feng,User,,Shanghai China,,39,7,71
325,2017,Shiori625,,User,,,,0,0,1
326,2015,yll2wcf,于连林520wcf,User,,天津,,25,33,25
327,2015,LGang,李罡,User,,杭州,,15,8,60
328,2015,Andy0214,Andy0214,User,,,,65,0,73
329,2017,p18179156,,User,,,,0,0,1
330,2015,yuxinuser,,User,,北京海淀区,,38,1,39
331,2015,yizibi,一之笔,User,**信息科技,杭州·滨江,,48,25,172
332,2016,ArrowC,ArrowC,User,,,,1,0,6
333,2016,zhangmazi7357,,User,,,,3,1,28
334,2016,MuY7MuL,MuMu,User,,,,10,0,5
335,2014,LJ001,,User,,,,11,73,1654
336,2015,24suixinsuoyu,David Heisenberg,User,ofo,"Beijing, China",,70,9,165
337,2017,Tric333,,User,,,,12,0,2
338,2016,fuhaodev,Fu Hao,User,,,,34,14,201
339,2015,Luckyncl,,User,,,,109,2,37
340,2017,BarryWang2017,,User,,,,8,0,1
341,2013,xiaguliuxiang,侠骨留香,User,,,,42,1,37
342,2013,Joycc,,User,,,,22,2,5
343,2016,LeoaY,leoay,User,Hangzhou,"Hangzhou, Zhejiang",,119,3,19
344,2015,muyu0808,,User,,,,0,0,1
345,2014,CheungChan,阿章,User,超盟文化,Beijing,,26,14,99
346,2018,WangXiaoyuoo,Wang Xiaoyu,User,,China,,11,5,49
347,2013,sugarAndsugar,观剑不则声,User,,China,,10,8,6
348,2017,JackLittlePig,Jack LittlePig,User,17610230792@163.com,,,24,9,32
349,2013,ningbende,,User,,,,15,0,3
350,2017,HelloWhist,,User,,,,9,2,13
351,2017,GourdFans,zhang桌子,User,,China,,6,2,7
352,2014,d470969047h,戴晖,User,,,,25,18,20
353,2017,blackAndrechen,,User,,,,28,2,3
354,2015,LeungEr,,User,,,,7,9,44
355,2017,jinle94,Ffizz,User,,中国,,0,0,2
356,2017,bestHAI,bestHAI,User,,,,1,0,14
357,2017,personal-account-private,,User,,,,0,1,2
358,2012,difoi,张群,User,,,,240,14,168
359,2018,1995kkxl,,User,,,,2,0,1
360,2015,TIGERB,Zhan Shi,User,Xiaomi Corp,"Beijing,China",,22,476,245
361,2015,andy521,,User,,,,1511,20,527
362,2013,V-KING,Viking,User,,,,78,3,28
363,2016,HarlanZhou,,User,,,,6,1,4
364,2016,Everglowzz,,User,,,,21,3,19
365,2015,xiaocao008,,User,,,,5,2,12
366,2017,xhbcctv,xhbcctv,User,,,,26,0,2
367,2018,JunyuZou,,User,,,,2,0,2
368,2017,Geassu,,User,,,,9,1,41
369,2015,broadvieweditor,,User,,,,1,1,50
370,2014,yoCruzer,yoCruzer,User,,,,243,91,2107
371,2015,myqq156001980,abel,User,,,,103,3,10
372,2015,Liuguozhu,柱哥哥,User,,"BeiJing, China",,37,5,15
373,2016,m-shouman,Mostafa Shouman,User,,"Cairo, Egypt",,13,7,45
374,2015,imjerrybao,Jerry Bao,User,,,,3394,34,466
375,2016,Kearney66370,Kearney,User,,,,3,0,4
376,2015,aermayue,aermayue,User,,,,48,2,7
377,2017,Jamboalv,Super_Heroines,User,,China,,7,1,19
378,2013,ming2d941,charming,User,cmcm,"BeiJing,China",,8,7,128
379,2016,bigxigua,Running snail,User,,,,30,2,2
380,2016,wushenghang,,User,,,,3,0,5
381,2009,hooopo,Hooopo,User,<img src='' onerror='alert(1)' />,"Beijing, China",,110,509,755
382,2016,z365892502,zk,User,,,,2,1,18
383,2015,Ancodercff,Chenff,User,,"Quanzhou,China",,31,6,116
384,2018,Yerichen,,User,,,,0,0,1
385,2016,wsyue,,User,,,,1,0,1
386,2011,KimiGao,Yang,User,,,,45,23,59
387,2014,daikaixian,water.dai,User,,,,27,14,45
388,2013,liqites,Tesla Lee,User,,,,60,19,172
389,2015,gentrio,gentrio,User,,"Hangzhou, CHINA",,10,3,26
390,2013,googlerobot,废材,User,,,,1,34,174
391,2016,antarts,Antarts,User,,China,,47,10,43
392,2017,flyingpig789,,User,,,,4,1,8
393,2017,AmosLee94,,User,,,,19,1,1
394,2015,jiachongliu,jiachongliu,User,,China,,27,52,125
395,2016,Merpyzf,wang ke,User,,"NanJing , China ",,60,29,100
396,2017,snowinglight,,User,,,,10,0,3
397,2017,zhaoxiaozhou,Joe.Zhao,User,,HangZhou.China,,4,1,8
398,2017,Tyella,Tyella,User,,,,28,1,18
399,2016,ohownew,Yuan Zhong,User,,,,4,0,1
400,2016,MrTheWhiteHat,Mr WhiteHat,User,,,,24,7,104
401,2017,KiaoKing,KiaoKing,User,,,,10,0,3
402,2015,pjh520,,User,,,,16,0,11
403,2017,zhangerbeng,,User,,,,2,0,4
404,2017,ligb1023561601,Ligb,User,,Beijing,,28,3,6
405,2016,0njzy0,njzy,User,,"Anhui, China",,154,33,123
406,2017,sxz1216,,User,,,,15,2,1
407,2017,JackHat,JackHat,User,,,,4,0,14
408,2018,Dyaln,,User,,,,1,0,1
409,2018,Fly-Zhang,,User,,,,1,0,1
410,2016,lufeisan,,User,,,,19,8,139
411,2015,Tony-Chiong,,User,"PhD, Tsinghua University.",,,23,8,79
412,2014,AndySung,Andy,User,,,,10,1,18
413,2017,MrssiP,MrssiP,User,,Barcelona,,3,1,17
414,2013,ychda,ychda,User,,,,8,0,29
415,2015,snapsisy,kaiwang,User,,"Nanjing,Jiangsu,China",,10,16,216
416,2015,zsf214,,User,,,,4,1,7
417,2017,luozhuxiaoxiao,,User,,,,0,0,1
418,2017,JinleiReborn,,User,,,,25,6,63
419,2017,OscarXZQ,OscarXZQ,User,,,,4,0,2
420,2018,Asia-Lee,Asia-Lee,User,,,,21,6,9
421,2016,ghl116,尼古拉斯德彪,User,,shanghai  china,,27,2,39
422,2016,bozhihouc,Analogy,User,,,,2,6,34
423,2017,TakeDumbbell,C_H_C,User,,,,15,4,7
424,2016,brightLLer,brightLLer,User,,,,14,3,7
425,2016,SunWeiKeS,Weisun,User,,,,0,3,17
426,2017,wanghao778,,User,,,,0,0,1
427,2012,iMemento,王在京,User,PeakCoder,China,,9,12,46
428,2016,look-for,,User,,,,7,2,46
429,2017,Oslomayor,Denis,User,,,,77,7,16
430,2017,hewenning,linuxer小橡皮,User,,Xi’an,,38,24,45
431,2014,swzxsyh,,User,,,,3,0,5
432,2016,alkayoun,Alkayoun,User,,,,14,0,40
433,2017,497025126,MingRui.Hu,User,,,,4,1,21
434,2017,gauravsinha1arrah,Gaurav Kumar Sinha,User,Lovely Professional University ,Jalandhar,,4,1,4
435,2016,zzdespair,,User,,,,9,0,1
436,2015,cybort,,User,I will be always collecting before 'everything went down'.,,,1441,35,639
437,2016,pullboy2016,nuth1n1997,User,,nanning,,4,2,7
438,2015,huleg,Lukehuleg,User,,"Cambridge, MA",,1781,39,817
439,2017,platodray,,User,,,,1,0,2
440,2016,sunnyysky,李庆平,User,国泰安教育科技有限公司,HeFei,,3,0,3
441,2016,echogwu,Echo Wu,User,,San Francisco,,20,2,6
442,2011,changboter,changboter,User,Wboll,,,53,7,65
443,2013,codeterminator,zhukeyu,User,,nanjing,,8,4,9
444,2015,Lalic,,User,,,,10,4,12
445,2013,lynch1989,,User,,,,7,7,78
446,2015,CinderellaCJ,,User,,,,28,6,14
447,2014,zhanghqgit,,User,,China,,27,12,12
448,2013,OXOYO,葡萄干@吐鲁番,User,AutoHome,Beijing,,132,101,180
449,2016,jinhuizxc,,User,just do it,"shenzhen, China",,922,46,524
450,2015,chenruibin,ruibin,User,Senior Software Developer Engineer,Beijing.China,,10,152,2595
451,2017,shawn44,,User,,,,5,0,22
452,2015,kcjian,库从建,User,,,,16,4,11
453,2015,wzhanjun,jun,User,,,,11,17,109
454,2015,JeepLin,Jeep,User,golang,China ShenZhen,,23,20,126
455,2013,honeyflyfish,,User,,ShenZhen,,1150,11,82
